Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <imports>  ?b   => ?a  <exports>  ?b	0.097053726	0.143589744	0.152588556	56	390	367	?b	0.0	0.0	0.0
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0.108843537	0.108843537	0.168421053	96	882	570	?a	0.0	0.0	0.0
?b  <isConnectedTo>  ?a   => ?a  <isConnectedTo>  ?b	0.19471402	0.19471402	0.223530341	5658	29058	25312	?b	0.0	0.0	0.0
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.018645358	0.114086147	0.173083716	490	4295	2831	?a	0.0	0.0	0.0
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.999831636	0.999831636	0.999915811	23754	23758	23756	?b	0.0	0.0	0.0
?a  <dealsWith>  ?f  ?f  <imports>  ?b   => ?a  <imports>  ?b	0.415384615	0.103119032	0.129392971	162	1571	1252	?a	0.0	0.0	6624.865042791309
?e  <dealsWith>  ?a  ?e  <imports>  ?b   => ?a  <imports>  ?b	0.248717949	0.101041667	0.133977901	97	960	724	?a	0.0	0.0	3966.7401799429454
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0.030261953	0.108593767	0.22814877	4889	45021	21429	?a	0.0	0.0	0.0
?a  <happenedIn>  ?f  ?b  <hasCapital>  ?f   => ?a  <happenedIn>  ?b	0.014163052	0.118694362	0.118694362	160	1348	1348	?a	0.0	0.0	386610.77998326195
?a  <happenedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <happenedIn>  ?b	0.161016199	0.144940239	0.144940239	1819	12550	12550	?a	0.0	0.0	6.191354185912591E7
?a  <isAffiliatedTo>  ?b   => ?a  <playsFor>  ?b	0.999991338	0.824862929	0.967279918	346322	419854	358037	?a	0.0	0.0	0.0
?a  <directed>  ?b   => ?a  <created>  ?b	0.035430598	0.233104873	0.392707051	9251	39686	23557	?b	0.0	0.0	0.0
?f  <dealsWith>  ?b  ?a  <dealsWith>  ?f   => ?a  <dealsWith>  ?b	0.688208617	0.30153999	0.30153999	607	2013	2013	?a	0.0	0.0	11630.725623582763
?e  <dealsWith>  ?a  ?e  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	0.412698413	0.15255658	0.232439336	364	2386	1566	?a	2.9836065573770494	4.666666666666667	6974.603174603173
?a  <playsFor>  ?b   => ?a  <isAffiliatedTo>  ?b	0.824862929	0.999991338	0.999991338	346322	346325	346325	?a	0.0	0.0	0.0
?f  <hasChild>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <hasChild>  ?b	0.380672718	0.540100369	0.540100369	5704	10561	10561	?b	0.0	0.0	4.245325982423468E7
?e  <hasChild>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <hasChild>  ?b	0.380672718	0.539998107	0.539998107	5704	10563	10563	?b	0.0	0.0	4.244528363640367E7
?a  <hasAcademicAdvisor>  ?f  ?f  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.026076834	0.105263158	0.201077199	112	1064	557	?a	0.0	0.0	793597.6377788819
?e  <graduatedFrom>  ?b  ?e  <hasAcademicAdvisor>  ?a   => ?a  <worksAt>  ?b	0.056577416	0.156976744	0.400990099	243	1548	606	?a	0.0	0.0	4274192.784213274
?a  <holdsPoliticalPosition>  ?f  ?f  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.246465724	0.979851538	1	924	943	924	?a	0.0	0.0	5.369234982261266E7
?e  <holdsPoliticalPosition>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.013070152	0.30625	0.942307692	49	160	52	?a	0.0	0.0	2847321.581502187
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.046329723	0.15971422	0.15971422	1386	8678	8678	?a	0.0	0.0	5968300.823759876
?f  <hasCapital>  ?b  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.045962027	0.145764868	0.145764868	1375	9433	9433	?a	0.0	0.0	8997835.52087478
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.186321701	0.103965382	0.103965382	5574	53614	53614	?a	0.0	0.0	3.3810641627733004E8
?a  <isMarriedTo>  ?f  ?f  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.010195213	0.181224005	0.664488017	305	1683	459	?a	0.0	0.0	1.6981764163210455E7
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.010195213	0.181224005	0.664488017	305	1683	459	?a	0.0	0.0	1.6981764163210455E7
?f  <isKnownFor>  ?b  ?a  <isKnownFor>  ?f   => ?a  <isKnownFor>  ?b	0.020253165	0.380952381	0.380952381	8	21	21	?b	0.0	0.0	2481.0126582278476
?a  <hasAcademicAdvisor>  ?f  ?f  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.011681887	0.288533835	0.430575035	307	1064	713	?a	0.0	0.0	2175307.8106974713
?f  <diedIn>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <diedIn>  ?b	0.010128607	0.136160048	0.418732782	456	3349	1089	?a	0.0	0.0	7.361747089383775E7
?e  <diedIn>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <diedIn>  ?b	0.010128607	0.136200717	0.418732782	456	3348	1089	?a	0.0	0.0	7.361747089383775E7
?f  <isLocatedIn>  ?b  ?a  <worksAt>  ?f   => ?a  <isCitizenOf>  ?b	0.021578935	0.125216465	0.243334196	940	7507	3863	?a	0.0	0.0	1.2545724061802268E7
?a  <hasAcademicAdvisor>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.011064943	0.35783222	0.646112601	482	1347	746	?a	0.0	0.0	1.3436542744983765E8
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.014072221	0.15491534	0.544888889	613	3957	1125	?a	0.0	0.0	2.4568185775245026E8
?e  <influences>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.016321939	0.192318096	0.547765794	711	3697	1298	?a	0.0	0.0	2.8495889210765433E8
?a  <hasChild>  ?f  ?b  <hasChild>  ?f   => ?a  <isMarriedTo>  ?b	0.134859837	0.233391608	0.424990052	3204	13728	7539	?b	0.33444676409185803	0.7903305377405032	2.8971481473571807E7
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	0.011414605	0.355294118	0.420612813	453	1275	1077	?b	0.0	0.0	0.0
?g  <isLeaderOf>  ?a  ?b  <isLocatedIn>  ?a  ?g  <wasBornIn>  ?b   => ?a  <hasCapital>  ?b	0.01920966	0.255474453	0.364583333	35	137	96	?a	0.0	0.0	0.0
?g  <diedIn>  ?b  ?b  <isLocatedIn>  ?a  ?g  <livesIn>  ?a   => ?a  <hasCapital>  ?b	0.020856202	0.152	0.175115207	38	250	217	?a	0.0	0.0	0.0
?e  <diedIn>  ?b  ?e  <isCitizenOf>  ?a  ?e  <livesIn>  ?a   => ?a  <hasCapital>  ?b	0.011525796	0.122093023	0.12962963	21	172	162	?a	0.0	0.0	0.0
?e  <isCitizenOf>  ?a  ?e  <livesIn>  ?b  ?e  <wasBornIn>  ?b   => ?a  <hasCapital>  ?b	0.01481888	0.131707317	0.137055838	27	205	197	?a	0.0	0.0	0.0
?h  <dealsWith>  ?a  ?a  <dealsWith>  ?h  ?a  <exports>  ?b   => ?a  <imports>  ?b	0.074358974	0.18125	0.204225352	29	160	142	?a	0.0	0.0	0.0
?a  <dealsWith>  ?h  ?a  <exports>  ?b  ?h  <imports>  ?b   => ?a  <imports>  ?b	0.074358974	0.358024691	0.358024691	29	81	81	?a	0.0	0.0	0.0
?a  <dealsWith>  ?h  ?a  <exports>  ?b  ?h  <exports>  ?b   => ?a  <imports>  ?b	0.069230769	0.221311475	0.230769231	27	122	117	?a	0.0	0.0	0.0
?a  <exports>  ?b  ?h  <isLocatedIn>  ?a  ?a  <owns>  ?h   => ?a  <imports>  ?b	0.015384615	0.222222222	0.375	6	27	16	?a	0.0	0.0	0.0
?a  <exports>  ?b  ?h  <happenedIn>  ?a  ?a  <participatedIn>  ?h   => ?a  <imports>  ?b	0.11025641	0.125730994	0.134796238	43	342	319	?a	0.0	0.0	0.0
?a  <exports>  ?b  ?g  <isCitizenOf>  ?a  ?g  <livesIn>  ?a   => ?a  <imports>  ?b	0.11025641	0.151943463	0.162878788	43	283	264	?a	0.0	0.0	0.0
?g  <dealsWith>  ?a  ?a  <exports>  ?b  ?g  <imports>  ?b   => ?a  <imports>  ?b	0.071794872	0.430769231	0.444444444	28	65	63	?a	0.0	0.0	0.0
?g  <dealsWith>  ?a  ?a  <exports>  ?b  ?g  <exports>  ?b   => ?a  <imports>  ?b	0.056410256	0.20754717	0.224489796	22	106	98	?a	0.0	0.0	0.0
?f  <dealsWith>  ?a  ?a  <dealsWith>  ?f  ?f  <exports>  ?b   => ?a  <imports>  ?b	0.076923077	0.100334448	0.120481928	30	299	249	?a	0.0	0.0	0.0
?a  <dealsWith>  ?f  ?f  <exports>  ?b  ?f  <imports>  ?b   => ?a  <imports>  ?b	0.246153846	0.162162162	0.2	96	592	480	?a	0.0	0.0	0.0
?e  <dealsWith>  ?a  ?e  <exports>  ?b  ?e  <imports>  ?b   => ?a  <imports>  ?b	0.084615385	0.171875	0.22	33	192	150	?a	0.0	0.0	0.0
?e  <diedIn>  ?b  ?e  <isCitizenOf>  ?a  ?e  <wasBornIn>  ?b   => ?a  <hasCapital>  ?b	0.01920966	0.146443515	0.164319249	35	239	213	?a	0.0	0.0	0.0
?a  <created>  ?h  ?a  <directed>  ?b  ?a  <edited>  ?h   => ?a  <edited>  ?b	0.015465729	0.403669725	0.682170543	88	218	129	?b	0.0	0.0	0.0
?g  <created>  ?b  ?a  <directed>  ?b  ?g  <edited>  ?b   => ?a  <edited>  ?b	0.011950791	0.883116883	0.883116883	68	77	77	?b	0.0	0.0	0.0
?a  <created>  ?b  ?a  <directed>  ?h  ?a  <edited>  ?h   => ?a  <edited>  ?b	0.011950791	0.409638554	0.772727273	68	166	88	?b	0.0	0.0	0.0
?a  <created>  ?b  ?g  <directed>  ?b  ?g  <edited>  ?b   => ?a  <edited>  ?b	0.011950791	0.482269504	0.482269504	68	141	141	?b	0.0	0.0	0.0
?a  <hasCapital>  ?h  ?a  <imports>  ?b  ?h  <isLocatedIn>  ?a   => ?a  <exports>  ?b	0.076256499	0.141025641	0.149659864	44	312	294	?b	0.0	0.0	0.0
?h  <dealsWith>  ?a  ?a  <dealsWith>  ?h  ?a  <imports>  ?b   => ?a  <exports>  ?b	0.050259965	0.276190476	0.29	29	105	100	?b	0.0	0.0	0.0
?a  <dealsWith>  ?h  ?a  <imports>  ?b  ?h  <imports>  ?b   => ?a  <exports>  ?b	0.050259965	0.179012346	0.18125	29	162	160	?b	0.0	0.0	0.0
?a  <dealsWith>  ?h  ?h  <exports>  ?b  ?a  <imports>  ?b   => ?a  <exports>  ?b	0.046793761	0.216	0.216	27	125	125	?b	0.0	0.0	0.0
?a  <imports>  ?b  ?h  <isLocatedIn>  ?a  ?a  <owns>  ?h   => ?a  <exports>  ?b	0.010398614	0.352941176	0.375	6	17	16	?b	0.0	0.0	0.0
?h  <happenedIn>  ?a  ?a  <imports>  ?b  ?a  <participatedIn>  ?h   => ?a  <exports>  ?b	0.074523397	0.188596491	0.200934579	43	228	214	?b	0.0	0.0	0.0
?g  <dealsWith>  ?a  ?a  <imports>  ?b  ?g  <imports>  ?b   => ?a  <exports>  ?b	0.048526863	0.288659794	0.294736842	28	97	95	?b	0.0	0.0	0.0
?g  <dealsWith>  ?a  ?g  <exports>  ?b  ?a  <imports>  ?b   => ?a  <exports>  ?b	0.03812825	0.4	0.4	22	55	55	?b	0.0	0.0	0.0
?a  <imports>  ?b  ?g  <isCitizenOf>  ?a  ?g  <livesIn>  ?a   => ?a  <exports>  ?b	0.074523397	0.227513228	0.238888889	43	189	180	?b	0.0	0.0	0.0
?f  <dealsWith>  ?a  ?a  <dealsWith>  ?f  ?f  <imports>  ?b   => ?a  <exports>  ?b	0.051993068	0.15	0.158730159	30	200	189	?b	0.0	0.0	0.0
?e  <dealsWith>  ?a  ?e  <exports>  ?b  ?e  <imports>  ?b   => ?a  <exports>  ?b	0.046793761	0.140625	0.140625	27	192	192	?b	0.0	0.0	0.0
?b  <hasCapital>  ?h  ?h  <isLocatedIn>  ?b  ?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.046826591	0.129434793	0.155405405	529	4087	3404	?a	0.0	0.0	0.0
?b  <exports>  ?h  ?b  <imports>  ?h  ?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.020890502	0.135788262	0.166080225	236	1738	1421	?a	0.0	0.0	0.0
